Service,Primary Client Group,Location
SCNI - Armagh,Single People with Support Needs,Armagh
Living Rivers Trust Hostel,Single People with Support Needs,Ballymena
SCNI- Ballymena,Single People with Support Needs,Ballymena
Womens Aid Antrim Ballymena Carrick Larne & Newtonabbey,Women at Risk of Domestic Abuse, Ballymena
North Down & Ards Women's Aid,Women at Risk of Domestic Abuse,Bangor
SCNI - Bangor,Single People with Support Needs,Bangor
Belfast & Lisburn Women's Aid ,Women at Risk of Domestic Abuse, Belfast
Hosford House EBM,Single People with Support Needs,Belfast
The Ormeau Centre,Single People with Support Needs,Belfast
Utility Street Mens Hostel,Single People with Support Needs,Belfast
Life House Hostel,Single People with Support Needs,Belfast
Morning Star House,Single People with Support Needs,Belfast
Inverary House,Single People with Support Needs,Belfast
SCNI- Falls Road,Single People with Support Needs,Belfast
SCNI- Cliftonville,Single People with Support Needs,Belfast
SCNI- Saintfield Road,Single People with Support Needs,Belfast
Calder Fountain Resettlement,Single People with Support Needs,Belfast
Centenary House Direct Access,Single People with Support Needs,Belfast
Centenary House Night Shelter,Single Homeless Crisis Accommodation Service,Belfast
Annsgate Crisis Accommodation Service,Single Homeless Crisis Accommodation Service,Belfast
Rosemount House,People with Alcohol Addiction Issues,Belfast
Citrah Foundation ,Women at Risk of Domestic Abuse,Carrickfergus
Causeway & Mid Ulster Women's Aid,Women at Risk of Domestic Abuse,Coleraine
SCNI - Coleraine,Single People with Support Needs,Coleraine
Causeway & Mid Ulster Women's Aid,Women at Risk of Domestic Abuse,Cookstown
MUST Hostel,Single People with Support Needs,Cookstown
Clarendon Shelter,Single People with Support Needs,Derry
Shepherds View FHASS,Single People with Support Needs,Derry
Foyle Women's Aid ,Women at Risk of Domestic Abuse,Derry
North West Methodist Mission,Single People with Support Needs,Derry
SCNI- Waterside,Single People with Support Needs,Derry
Apex- Foyle Valley House,People with Alcohol Addiction Issues,Derry
Apex-House In The Wells,People with Alcohol Addiction Issues, Derry
Damian House- FHASS,People with Alcohol Addiction Issues, Derry
SCNI - Downpatrick,Single People with Support Needs,Downpatrick
Castlehill (Depaul Ireland),Single People with Support Needs,Dungannon
Fermanagh Women's Aid ,Women at Risk of Domestic Abuse, Enniskillen
SCNI - Larne,Single People with Support Needs,Larne
Belfast & Lisburn Women's Aid ,Women at Risk of Domestic Abuse, Lisburn
SCNI- Flush Park,Single People with Support Needs,Lisburn
SCNI - Newry,Single People with Support Needs,Newry
Women's Aid Armagh Down ,Women at Risk of Domestic Abuse, Newry
Omagh Women's Aid ,Women at Risk of Domestic Abuse, Omagh
SCNI- Avon House,Single People with Support Needs,Portadown
Dillon Court FHASS,Single People with Support Needs,Strabane
